,Unnamed: 0,DR Number,Date Reported,Date Occurred,Time Occurred,Area ID,Area Name,Reporting District,Crime Code,Crime Code Description,MO Codes,Victim Age,Victim Sex,Victim Descent,Premise Code,Premise Description,Weapon Used Code,Weapon Description,Status Code,Status Description,Crime Code 1,Crime Code 2,Crime Code 3,Crime Code 4,Address,Cross Street,Location 
106991,1206640,161704553,2016-01-12,2015-12-24,1800,17,Devonshire,1781,812,CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER)0060,0522 0503 1259 0556 0551,15.0,F,W,501.0,SINGLE FAMILY DWELLING,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,812.0,860.0,,,21000    GRESHAM                      ST,,"(34.2306, -118.5907)"
139277,818804,140317555,2014-08-13,2014-08-01,1500,3,Southwest,397,310,BURGLARY,1822 0344,66.0,F,B,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont,310.0,,,,4200    DENKER                       AV,,"(34.0071, -118.3045)"
93221,323497,110108993,2011-04-11,2011-04-10,2100,1,Central,123,210,ROBBERY,0344 0416 0429,29.0,F,W,124.0,BUS STOP,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,210.0,,,,N  SPRING,TEMPLE,"(34.0549, -118.2426)"
50197,1059414,150714035,2015-08-27,2015-08-27,1050,7,Wilshire,732,440,THEFT PLAIN - PETTY ($950 & UNDER),0344,37.0,F,H,101.0,STREET,,,IC,Invest Cont,440.0,,,,6100    WILSHIRE                     BL,,"(34.0665, -118.3662)"
123169,1077274,150914375,2015-07-30,2015-07-29,1900,9,Van Nuys,911,510,VEHICLE - STOLEN,,14.0,,,101.0,STREET,,,AA,Adult Arrest,510.0,,,,6900 N  SEPULVEDA                    BL,,"(34.1938, -118.4702)"
12697,957203,141818043,2014-10-02,2014-10-02,740,18,Southeast,1802,310,BURGLARY,1602 0321 0329 0344 0342,34.0,F,H,501.0,SINGLE FAMILY DWELLING,218.0,OTHER CUTTING INSTRUMENT,AA,Adult Arrest,310.0,,,,300 W  88TH                         PL,,"(33.9568, -118.2782)"
11489,23541,130317295,2013-07-29,2013-07-26,830,3,Southwest,361,624,BATTERY - SIMPLE ASSAULT,2000 0429,25.0,F,B,101.0,STREET,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624.0,,,,PINAFORE,NICOLET,"(34.0149, -118.3524)"
64034,793557,132118507,2013-10-13,2013-10-05,1500,21,Topanga,2187,813,CHILD ANNOYING (17YRS & UNDER),1258 1501,,F,B,501.0,SINGLE FAMILY DWELLING,,,AO,Adult Other,813.0,,,,21000    COSTANSO                     ST,,"(34.1657, -118.591)"
87720,623643,121222828,2012-09-30,2012-09-30,200,12,77th Street,1273,121,"RAPE, FORCIBLE",0408 0429 0444 0448 0536 1309 1415 0531 0527 1022,46.0,F,H,101.0,STREET,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,121.0,998.0,,,8700 S  HOBART                       BL,,"(33.9583, -118.3079)"
92106,1282619,160811807,2016-06-16,2016-06-13,5,8,West LA,841,480,BIKE - STOLEN,0344 1606,41.0,M,B,707.0,GARAGE/CARPORT,,,IC,Invest Cont,480.0,,,,1300    WELLESLEY                    AV,,"(34.0415, -118.4677)"
39584,1214035,160118349,2016-07-05,2016-07-05,1000,1,Central,171,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD0036",0344,44.0,F,W,252.0,"COFFEE SHOP (STARBUCKS, COFFEE BEAN, PEET'S, ETC.)",,,IC,Invest Cont,341.0,,,,800 W  OLYMPIC                      BL,,"(34.045, -118.264)"
115484,218740,100213683,2010-06-25,2010-06-25,1610,2,Rampart,266,220,ATTEMPTED ROBBERY,0327 0344 0432 1259,17.0,F,H,102.0,SIDEWALK,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,220.0,,,,700 S  BONNIE BRAE                  ST,,"(34.0554, -118.2745)"
86750,219380,100215171,2010-07-25,2010-07-25,2230,2,Rampart,233,626,INTIMATE PARTNER - SIMPLE ASSAULT,0408 0416 0913 1243 2000,32.0,F,H,501.0,SINGLE FAMILY DWELLING,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,626.0,,,,200 S  LA FAYETTE PARK              PL,,"(34.0692, -118.2792)"
114110,1350588,161424913,2016-10-01,2016-09-28,1900,14,Pacific,1433,331,THEFT FROM MOTOR VEHICLE - GRAND ($400 AND OVER),0344 1300,41.0,M,W,108.0,PARKING LOT,,,IC,Invest Cont,331.0,,,,1100    VENICE                       BL,,"(33.994, -118.4526)"
138904,900982,141222970,2014-10-20,2014-09-01,1200,12,77th Street,1252,354,THEFT OF IDENTITY,1822 0100,40.0,M,B,101.0,STREET,,,IC,Invest Cont,354.0,,,,2700 W  74TH                         ST,,"(33.9728, -118.3228)"
62412,1032944,150414646,2015-09-20,2015-09-20,100,4,Hollenbeck,407,510,VEHICLE - STOLEN,,14.0,,,101.0,STREET,,,IC,Invest Cont,510.0,,,,4500    HUNTINGTON DR,,"(34.0833, -118.1907)"
114957,554523,120512404,2012-06-14,2012-06-14,1810,5,Harbor,504,330,BURGLARY FROM VEHICLE,0329 0344 0358 1300 1605,27.0,M,B,108.0,PARKING LOT,,,IC,Invest Cont,330.0,,,,19500    NORMANDIE                    AV,,"(33.8542, -118.2992)"
38495,772192,131912959,2013-05-30,2013-05-30,1150,19,Mission,1999,331,THEFT FROM MOTOR VEHICLE - GRAND ($400 AND OVER),0344 1300,70.0,M,O,108.0,PARKING LOT,,,IC,Invest Cont,331.0,,,,8200    WOODMAN                      AV,,"(34.2196, -118.4319)"
30660,832803,140507178,2014-03-21,2014-03-21,630,5,Harbor,526,310,BURGLARY,0344 0358 1607,43.0,M,H,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,310.0,,,,300 W  OPP                          ST,,"(33.7828, -118.2651)"
140938,1537433,171010784,2017-05-25,2017-05-24,1440,10,West Valley,1031,510,VEHICLE - STOLEN,,16.0,,,101.0,STREET,,,AO,Adult Other,510.0,,,,19300    VICTORY                      BL,,"(34.1866, -118.5535)"
71328,55098,130711055,2013-06-12,2013-06-11,2030,7,Wilshire,752,310,BURGLARY,1414 0344 1606,57.0,F,W,707.0,GARAGE/CARPORT,,,IC,Invest Cont,310.0,,,,1000 S  LA JOLLA                     AV,,"(34.0591, -118.3718)"
153246,83189,101010729,2010-05-17,2010-05-16,2325,10,West Valley,1044,626,INTIMATE PARTNER - SIMPLE ASSAULT,0416 1402 2000,17.0,F,H,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,626.0,,,,18400    COLLINS                      ST,,"(34.1749, -118.5344)"
62023,773727,131916321,2013-07-24,2013-07-23,1900,19,Mission,1916,763,STALKING,1817 1816 0432 1312 1814 0347,18.0,F,H,101.0,STREET,,,AO,Adult Other,763.0,,,,BEAVER,FENTON,"(34.3141, -118.4261)"
119832,561282,120609696,2012-03-14,2012-03-06,1500,6,Hollywood,629,664,"BUNCO, PETTY THEFT",0344,19.0,F,W,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont,664.0,,,,2300    HIGH OAK                     DR,,"(34.113, -118.3118)"
41479,344258,110318961,2011-08-18,2011-08-17,2200,3,Southwest,356,310,BURGLARY,0321,35.0,F,B,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont,310.0,,,,1500 W  35TH                         PL,,"(34.0237, -118.3032)"
20227,1411416,162017489,2016-09-29,2016-09-27,1500,20,Olympic,2011,310,BURGLARY,1606 0344 0352 1221 1202,79.0,F,W,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont,310.0,,,,200 S  PLYMOUTH                     BL,,"(34.0712, -118.3219)"
118836,874019,141006313,2014-02-26,2014-02-12,1200,10,West Valley,1083,930,CRIMINAL THREATS - NO WEAPON DISPLAYED,0368 1202 0421,73.0,M,O,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont,930.0,,,,4100    NOGALES                      DR,,"(34.1457, -118.5513)"
95223,701826,122018448,2012-10-15,2012-10-14,1240,20,Olympic,2031,310,BURGLARY,1607 1601 0306 0118 0358 1309 1606,32.0,M,K,210.0,RESTAURANT/FAST FOOD,,,IC,Invest Cont,310.0,,,,3900    WILSHIRE                     BL,,"(34.0617, -118.3115)"
138876,837069,140515704,2014-10-06,2014-10-05,100,5,Harbor,566,480,BIKE - STOLEN,0344 1259 1251,16.0,F,B,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont,480.0,,,,900 S  MESA                         ST,,"(33.736, -118.2857)"
11219,1153571,151705398,2015-01-31,2015-01-31,1430,17,Devonshire,1792,888,TRESPASSING,2004 1275,,M,W,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont,888.0,,,,8600    WINNETKA                     AV,,"(34.2264, -118.5711)"
47218,253207,100606064,2010-01-30,2010-01-30,100,6,Hollywood,647,510,VEHICLE - STOLEN,,,,,101.0,STREET,,,IC,Invest Cont,510.0,,,,5800    HAROLD                       WY,,"(34.0993, -118.3159)"
117764,549369,120417804,2012-12-04,2012-11-25,1200,4,Hollenbeck,449,354,THEFT OF IDENTITY,0100,34.0,M,H,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354.0,,,,2700    POMEROY                      AV,,"(34.0533, -118.1977)"
6559,1033005,150414223,2015-09-08,2015-09-07,2300,4,Hollenbeck,487,510,VEHICLE - STOLEN,,14.0,,,101.0,STREET,,,IC,Invest Cont,510.0,,,,GARNET,CAMULOS,"(34.0276, -118.2127)"
10137,606806,121110577,2012-05-06,2012-05-06,300,11,Northeast,1146,900,VIOLATION OF COURT ORDER,,23.0,F,H,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont,900.0,,,,2600    QUEEN                        ST,,"(34.099, -118.2444)"
153185,1436457,170207083,2017-03-04,2017-03-03,2330,2,Rampart,295,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),0329 0400 0371 1307 0906,27.0,M,H,122.0,"VEHICLE, PASSENGER/TRUCK",400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,745.0,,,,1400 S  UNION                        AV,,"(34.0423, -118.2804)"
79851,1076666,150913287,2015-06-17,2015-06-06,1,9,Van Nuys,941,354,THEFT OF IDENTITY,0923 1822,56.0,M,W,203.0,OTHER BUSINESS,,,IC,Invest Cont,354.0,,,,5700    SEPULVEDA                    BL,,"(34.174, -118.4662)"
104211,1521178,171905991,2017-02-08,2017-02-01,1200,19,Mission,1925,928,THREATENING PHONE CALLS/LETTERS,1501,41.0,M,W,501.0,SINGLE FAMILY DWELLING,,,AO,Adult Other,928.0,,,,12200    WILLOWBEND                   LN,,"(34.2927, -118.4474)"
147398,1006336,150205866,2015-02-04,2015-02-04,1910,2,Rampart,269,485,BIKE - ATTEMPTED STOLEN,1402,28.0,M,H,721.0,HIGH SCHOOL,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,485.0,998.0,,,1500    CAMBRIA                      ST,,"(34.0523, -118.2699)"
139567,1073860,150907888,2015-03-20,2015-03-20,1300,9,Van Nuys,964,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD0036",0344,,X,X,404.0,DEPARTMENT STORE,,,IC,Invest Cont,341.0,343.0,,,14000    RIVERSIDE                    DR,,"(34.1576, -118.438)"
14658,310366,101908559,2010-03-11,2010-03-11,1,19,Mission,1972,330,BURGLARY FROM VEHICLE,0344 1307 1302,46.0,F,H,108.0,PARKING LOT,,,IC,Invest Cont,330.0,,,,9000    BURNET                       AV,,"(34.2337, -118.4632)"
29983,1183214,151924282,2015-12-31,2015-12-30,1640,19,Mission,1969,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0449 0302 0334 0432 0443 2003,24.0,F,H,501.0,SINGLE FAMILY DWELLING,102.0,HAND GUN,AO,Adult Other,230.0,,,,9600    BARTEE                       AV,,"(34.2445, -118.4257)"
131976,247459,100511674,2010-05-26,2010-05-23,1800,5,Harbor,585,310,BURGLARY,0344 1606,42.0,M,W,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,310.0,,,,2200 S  LELAND                       AV,,"(33.7243, -118.3012)"
24549,341851,110314071,2011-06-08,2011-06-07,1845,3,Southwest,391,330,BURGLARY FROM VEHICLE,0329 0344 1300 1307,39.0,F,B,101.0,STREET,,,IC,Invest Cont,330.0,,,,STOCKER,LA BREA,"(33.9971, -118.3578)"
2241,678057,121810425,2012-05-02,2012-05-02,1130,18,Southeast,1851,310,BURGLARY,1607 0344 0321,71.0,F,B,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont,310.0,,,,700 W  131ST                        ST,,"(33.9133, -118.2871)"
27171,1072446,150905014,2015-01-22,2015-01-21,2300,9,Van Nuys,985,330,BURGLARY FROM VEHICLE,0344 1300 1307,35.0,M,W,108.0,PARKING LOT,,,IC,Invest Cont,330.0,,,,4300    BEVERLY GLEN                 BL,,"(34.149, -118.4462)"
56921,787690,132107388,2013-03-18,2013-03-17,2100,21,Topanga,2157,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS) 0114",0329 0311,,M,W,108.0,PARKING LOT,,,IC,Invest Cont,740.0,,,,20600    VANOWEN                      ST,,"(34.1938, -118.5823)"
95126,668200,121710190,2012-04-25,2012-04-19,630,17,Devonshire,1701,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD0036",0344,58.0,M,W,752.0,FIRE STATION,,,IC,Invest Cont,341.0,,,,11300    TAMPA                        AV,,"(34.2759, -118.5577)"
4662,1217377,160126413,2016-11-01,2016-11-01,930,1,Central,182,330,BURGLARY FROM VEHICLE,1307 0344 0329,21.0,F,B,102.0,SIDEWALK,,,IC,Invest Cont,330.0,,,,FLOWER,PICO,"(34.0401, -118.2668)"
72180,1378258,161714302,2016-07-12,2016-07-12,1800,17,Devonshire,1764,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),0325 0344,,M,W,404.0,DEPARTMENT STORE,,,IC,Invest Cont,442.0,,,,9300    TAMPA                        AV,,"(34.244, -118.5583)"
43541,820946,140321140,2014-10-07,2014-10-01,1100,3,Southwest,343,930,CRIMINAL THREATS - NO WEAPON DISPLAYED,,67.0,F,B,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,AO,Adult Other,930.0,,,,5400    VILLAGE GREEN,,"(34.0199, -118.3624)"
79628,488574,111906820,2011-02-15,2011-02-14,700,19,Mission,1975,310,BURGLARY,0344,23.0,M,O,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont,310.0,,,,9000    SYLMAR                       AV,,"(34.2332, -118.4459)"
54434,157873,101715808,2010-08-07,2010-07-06,1200,17,Devonshire,1764,354,THEFT OF IDENTITY,0377 0930,68.0,M,O,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354.0,653.0,,,19600    CITRONIA                     ST,,"(34.2452, -118.5601)"
153583,403425,111013945,2011-08-04,2011-07-29,800,10,West Valley,1035,237,CHILD NEGLECT (SEE 300 W.I.C.),1501,,F,H,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,237.0,,,,6600    ETIWANDA                     AV,,"(34.1903, -118.5317)"
34252,1148698,151609981,2015-06-11,2015-06-10,2000,16,Foothill,1613,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS) 0114",0329 1300,21.0,F,H,122.0,"VEHICLE, PASSENGER/TRUCK",,,IC,Invest Cont,740.0,,,,12700    VAN NUYS                     BL,,"(34.2753, -118.4095)"
19712,893268,141210408,2014-04-15,2014-04-14,1900,12,77th Street,1269,510,VEHICLE - STOLEN,,13.0,,,101.0,STREET,,,IC,Invest Cont,510.0,,,,600 E  83RD                         ST,,"(33.9638, -118.2651)"
63666,799908,140120044,2014-08-28,2014-08-28,440,1,Central,153,210,ROBBERY,1218 0344 0334,55.0,M,B,102.0,SIDEWALK,207.0,OTHER KNIFE,IC,Invest Cont,210.0,,,,5TH                          ST,HILL                         ST,"(34.0488, -118.2518)"
20444,863230,140817762,2014-12-29,2014-12-28,1200,8,West LA,853,440,THEFT PLAIN - PETTY ($950 & UNDER),0344 1236,,M,O,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,440.0,,,,1500    PURDUE                       AV,,"(34.0473, -118.4519)"
149410,879246,141016995,2014-11-03,2014-11-02,2230,10,West Valley,1061,440,THEFT PLAIN - PETTY ($950 & UNDER),0344 0342 0104 1420,,M,W,203.0,OTHER BUSINESS,,,IC,Invest Cont,440.0,,,,19700    VENTURA                      BL,,"(34.1726, -118.5622)"
153777,319998,120914566,2012-07-16,2010-04-01,1900,9,Van Nuys,914,354,THEFT OF IDENTITY,1822 0100,28.0,F,W,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354.0,,,,15100    SHERMAN                      WY,,"(34.2012, -118.4618)"
97124,742835,131600552,2013-01-19,2013-01-18,2250,16,Foothill,1678,753,DISCHARGE FIREARMS/SHOTS FIRED,1419 1407 1100 1402,,M,X,501.0,SINGLE FAMILY DWELLING,109.0,SEMI-AUTOMATIC PISTOL,AA,Adult Arrest,753.0,998.0,,,10300    LA TUNA CANYON               RD,,"(34.2341, -118.3548)"
3914,455992,111516929,2011-09-01,2011-08-29,1430,15,N Hollywood,1532,310,BURGLARY,0344 0354 1606,33.0,M,B,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,310.0,,,,6300    WHITSETT                     AV,,"(34.1849, -118.4052)"
99872,978088,142021331,2014-12-24,2014-12-21,615,20,Olympic,2041,956,"LETTERS, LEWD",,19.0,F,W,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,956.0,,,,4000    COUNTRY CLUB                 DR,,"(34.0516, -118.3219)"
19009,1358494,161512887,2016-06-10,2016-06-10,1540,15,N Hollywood,1501,330,BURGLARY FROM VEHICLE,1609 0344,53.0,F,H,101.0,STREET,,,IC,Invest Cont,330.0,,,,7800    ETHEL                        AV,,"(34.212, -118.417)"
28000,1326767,161222445,2016-09-03,2016-09-03,1730,12,77th Street,1232,510,VEHICLE - STOLEN,,15.0,,,101.0,STREET,,,IC,Invest Cont,510.0,,,,5800    3RD                          AV,,"(33.9891, -118.3206)"
115304,30412,131321077,2013-11-06,2013-11-05,2030,13,Newton,1363,330,BURGLARY FROM VEHICLE,0344 0321,30.0,F,H,707.0,GARAGE/CARPORT,,,IC,Invest Cont,330.0,,,,1000 E  48TH                         ST,,"(34.0003, -118.2582)"
86764,900161,141221667,2014-09-30,2014-09-30,1215,12,77th Street,1251,220,ATTEMPTED ROBBERY,1822 0416 0446,18.0,F,H,102.0,SIDEWALK,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,220.0,,,,3300 W  FLORENCE                     AV,,"(33.9746, -118.3294)"
144718,1473574,171005208,2017-01-27,2017-01-26,2200,10,West Valley,1063,320,"BURGLARY, ATTEMPTED",1414 1602 1501,,M,W,210.0,RESTAURANT/FAST FOOD,,,IC,Invest Cont,320.0,,,,5400    RESEDA                       BL,,"(34.1688, -118.5361)"
140182,992809,151915867,2015-08-04,2014-10-24,1421,19,Mission,1975,440,THEFT PLAIN - PETTY ($950 & UNDER),1916 1900,34.0,M,A,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont,440.0,,,,14300    OSBORNE                      ST,,"(34.2332, -118.4438)"
85170,1449700,170412238,2017-07-04,2017-07-04,2230,4,Hollenbeck,408,624,BATTERY - SIMPLE ASSAULT,0416 0329 0342 0361,47.0,F,W,104.0,DRIVEWAY,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624.0,,,,3500    LOCKE                        AV,,"(34.0859, -118.1803)"
137179,1003315,150123515,2015-10-20,2015-10-20,1850,1,Central,147,624,BATTERY - SIMPLE ASSAULT,0416,36.0,M,H,102.0,SIDEWALK,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624.0,,,,5TH,SAN JULIAN,"(34.0446, -118.245)"
93708,1012768,150220226,2015-10-29,2015-10-28,1200,2,Rampart,211,354,THEFT OF IDENTITY,1822,42.0,M,O,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354.0,,,,600 N  BERENDO                      ST,,"(34.0818, -118.2941)"
156365,1334710,161310574,2016-04-24,2016-04-24,930,13,Newton,1367,510,VEHICLE - STOLEN,,15.0,,,101.0,STREET,,,IC,Invest Cont,510.0,,,,46TH                         ST,ALAMEDA                      ST,"(34.0016, -118.2389)"
2613,1036765,150506042,2015-02-16,2015-02-16,900,5,Harbor,526,510,VEHICLE - STOLEN,,14.0,,,101.0,STREET,,,IC,Invest Cont,510.0,,,,900 N  FRIES                        AV,,"(33.7815, -118.265)"
62990,456935,111518703,2011-10-05,2011-10-04,2100,15,N Hollywood,1516,310,BURGLARY,0321 1601 1608,27.0,F,B,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,310.0,,,,6700    IRVINE                       AV,,"(34.1922, -118.3855)"
133999,1412905,162020051,2016-11-21,2016-11-18,1630,20,Olympic,2021,444,DISHONEST EMPLOYEE - PETTY THEFT,1803 0344,,X,X,252.0,"COFFEE SHOP (STARBUCKS, COFFEE BEAN, PEET'S, ETC.)",,,IC,Invest Cont,444.0,,,,3900    WILSHIRE                     BL,,"(34.0653, -118.3183)"
72200,902433,141225544,2014-11-27,2014-11-26,1600,12,77th Street,1258,310,BURGLARY,0321 0344 1601,32.0,M,B,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont,310.0,,,,100 E  78TH                         ST,,"(33.9688, -118.2724)"
101401,1305809,161019076,2016-11-29,2016-09-19,1200,10,West Valley,1039,354,THEFT OF IDENTITY,0930 1822,55.0,M,H,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354.0,,,,6500    WOODLEY                      AV,,"(34.1888, -118.4837)"
128516,388483,110818363,2011-11-20,2011-11-19,200,8,West LA,834,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),0344 1300 1606,22.0,F,A,101.0,STREET,,,IC,Invest Cont,420.0,,,,1400    MALCOLM                      AV,,"(34.057, -118.4392)"
9753,96868,101121836,2010-10-25,2010-10-24,2000,11,Northeast,1133,520,VEHICLE - ATTEMPT STOLEN,,60.0,M,H,101.0,STREET,,,IC,Invest Cont,520.0,,,,3100    LACLEDE                      AV,,"(34.1124, -118.2492)"
3553,1122041,151321947,2015-11-26,2015-11-26,2040,13,Newton,1362,626,INTIMATE PARTNER - SIMPLE ASSAULT,2000 1813 1814 1243 0416,35.0,F,H,501.0,SINGLE FAMILY DWELLING,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,626.0,,,,100 E  49TH                         ST,,"(33.9984, -118.274)"
37612,41567,130516207,2013-10-07,2013-10-07,1300,5,Harbor,514,624,BATTERY - SIMPLE ASSAULT,0416,59.0,M,O,203.0,OTHER BUSINESS,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624.0,,,,1100 W  PACIFIC COAST                HY,,"(33.7904, -118.2764)"
47130,1360251,161516076,2016-08-04,2016-08-04,705,15,N Hollywood,1581,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),0329,15.0,M,O,301.0,GAS STATION,,,IC,Invest Cont,745.0,,,,4300    COLDWATER CANYON             AV,,"(34.1482, -118.4138)"
101678,105799,131107952,2013-03-22,2013-03-21,2200,11,Northeast,1181,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),0344,36.0,F,B,122.0,"VEHICLE, PASSENGER/TRUCK",,,IC,Invest Cont,420.0,,,,1300    ALLESANDRO                   ST,,"(34.0795, -118.2636)"
39242,744297,131607885,2013-04-08,2013-04-07,1500,16,Foothill,1623,510,VEHICLE - STOLEN,,12.0,,,101.0,STREET,,,IC,Invest Cont,510.0,,,,13100    HOYT                         ST,,"(34.2674, -118.4184)"
82347,1489010,171217311,2017-07-02,2017-07-02,410,12,77th Street,1249,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS) 0114",1307 0329,41.0,F,B,122.0,"VEHICLE, PASSENGER/TRUCK",,,IC,Invest Cont,740.0,,,,600 W  GAGE                         AV,,"(33.9823, -118.2841)"
38134,1093857,151112037,2015-06-11,2015-06-01,1200,11,Northeast,1138,664,"BUNCO, PETTY THEFT",1202 0701,64.0,M,B,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,664.0,,,,5900    TERRACE                      DR,,"(34.1136, -118.193)"
26016,1580839,171015406,2017-09-04,2017-08-07,1200,10,West Valley,1011,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD0036",0344,58.0,F,W,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont,341.0,,,,7200    TAMPA                        AV,,"(34.2012, -118.5535)"
66347,744307,131606249,2013-02-27,2013-02-23,1800,16,Foothill,1672,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS) 0114",0329 1300,51.0,M,H,101.0,STREET,,,IC,Invest Cont,740.0,,,,8800    ONEIDA                       AV,,"(34.2298, -118.3939)"
88346,122167,131117213,2013-09-11,2013-08-15,1300,11,Northeast,1183,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS) 0114",0329,58.0,M,H,122.0,"VEHICLE, PASSENGER/TRUCK",,,IC,Invest Cont,740.0,,,,1600    LAKE SHORE                   AV,,"(34.0832, -118.2574)"
5415,174008,101907719,2010-02-28,2010-02-28,1600,19,Mission,1999,930,CRIMINAL THREATS - NO WEAPON DISPLAYED,0334 0369 0421 1243 1402 2000,18.0,F,H,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",205.0,KITCHEN KNIFE,IC,Invest Cont,930.0,998.0,,,7800    WOODMAN                      AV,,"(34.2124, -118.4309)"
129299,1378883,161715476,2016-08-26,2016-08-26,2140,17,Devonshire,1793,626,INTIMATE PARTNER - SIMPLE ASSAULT,2000 1813 0417,31.0,F,H,501.0,SINGLE FAMILY DWELLING,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,626.0,,,,8500    TAMPA                        AV,,"(34.2246, -118.5536)"
46514,1075981,150912028,2015-06-10,2015-06-10,900,9,Van Nuys,976,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",1300,29.0,M,B,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",307.0,VEHICLE,AO,Adult Other,230.0,,,,13300    MOORPARK                     ST,,"(34.1504, -118.4225)"
142349,226070,100309498,2010-03-23,2010-03-23,900,3,Southwest,315,210,ROBBERY,0305 0344 1251,21.0,F,B,101.0,STREET,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,210.0,,,,W  27TH                         ST,S  WESTERN                      AV,"(34.0309, -118.3089)"
